exp,arm,seeds,kb_per_round,budget_mb,det_f1,lab_f1,rho,plateau,osc,R70,R70_sd,R70_ci95,MB70_ci95,R70_n,MB70,R75,R75_sd,R75_ci95,MB75_ci95,R75_n,MB75,R80,R80_sd,R80_ci95,MB80_ci95,R80_n,MB80,R85,R85_sd,R85_ci95,MB85_ci95,R85_n,MB85,es20_halt,es20_mb,es20_acc,es20_cost
E12,frac_0.5,3,144.54,28.23,0.8627,0.9327,0.0228,0.8734,0.003,10.3,7.0,21.4,3.02,3,1.46,12.7,8.3,25.4,3.58,3,1.79,18.7,11.4,34.8,4.91,3,2.63,33.3,15.3,46.6,6.58,3,4.71,127.7,18.02,0.8712,0.001
E13,epochs_2,3,289.08,56.46,0.8579,0.9327,0.0228,0.8451,0.002,3,2.8,8.6,2.43,3,0.85,6.3,3.4,10.3,2.92,3,1.79,15,3.6,10.8,3.06,3,4.23,46,31.9,97.2,27.44,3,12.99,90.7,25.6,0.8584,0.002
E13,epochs_5,3,289.08,56.46,0.8572,0.9327,0.0228,0.8111,0.0102,3.3,3.3,10.0,2.83,3,0.94,7,4.2,12.9,3.64,3,1.98,15.5,4.5,57.2,16.15,2,4.38,54,32.0,406.7,114.82,2,15.24,92,25.97,0.8578,0.0005
E14,fp16,3,216.81,42.35,0.8578,0.9327,0.0228,0.8659,0.001,1,0.0,0.0,0.0,3,0.21,2.7,2.4,7.2,1.52,3,0.56,11.3,3.3,10.0,2.13,3,2.4,40,30.4,92.5,19.59,3,8.47,91.3,19.34,0.8605,0.002
E14,topk_0.01,3,147.43,28.79,0.723,0.9327,0.0228,0.5692,0.0252,1,0.0,,,1,0.14,,0.0,,,0,,,0.0,,,0,,,0.0,,,0,,29.7,4.27,0.7184,0.0001
E14,topk_0.1,3,173.44,33.88,0.7024,0.9327,0.0228,0.7028,0.0131,24.7,24.3,73.9,12.51,3,4.18,26,0.0,,,1,4.4,,0.0,,,0,,,0.0,,,0,,76.7,12.99,0.7629,0.0144
E15,a2b_0.05,5,289.08,56.46,0.8236,0.9339,0.0711,0.7394,0.0192,9,4.1,7.5,2.11,4,2.54,12.5,0.5,6.4,1.79,2,3.53,20,0.0,,,1,5.65,,0.0,,,0,,51.2,14.45,0.82,0.011
E15,a2b_0.10,5,289.08,56.46,0.7452,0.9339,0.1208,0.6695,0.0184,23.5,0.5,6.4,1.79,2,6.63,26,0.0,,,1,7.34,,0.0,,,0,,,0.0,,,0,,66.4,18.74,0.7782,0.004
E15,a2b_0.20,5,289.08,56.46,0.3136,0.9339,0.2196,0.5301,0.0047,,0.0,,,0,,,0.0,,,0,,,0.0,,,0,,,0.0,,,0,,82.2,23.21,0.5177,0.0508
E15,b2a_0.10,5,289.08,56.46,0.8684,0.9339,0.1138,0.8805,0.0007,1,0.0,0.0,0.0,5,0.28,1,0.0,0.0,0.0,5,0.28,1,0.0,0.0,0.0,5,0.28,2.8,3.6,5.0,1.41,5,0.79,86.8,24.5,0.8746,0.0005
E16,sup_balanced_allrows,5,289.08,56.46,0.4487,0.9339,0.0217,0.6152,0.0335,,0.0,,,0,,,0.0,,,0,,,0.0,,,0,,,0.0,,,0,,41,11.57,0.5371,0.1307
E16,sup_balanced_lr1e3,5,289.08,56.46,0.8635,0.9339,0.0217,0.8553,0.003,4.8,3.8,5.3,1.5,5,1.36,7.6,3.4,4.8,1.35,5,2.15,10.5,2.1,3.8,1.07,4,2.96,13.5,3.0,5.6,1.58,4,3.81,80.4,22.7,0.8751,0.0015
E16,sup_balanced_mu0,5,289.08,56.46,0.799,0.9339,0.0217,0.7624,0.0108,2.2,1.3,2.4,0.67,4,0.64,2,1.4,4.3,1.21,3,0.56,3.3,1.9,5.7,1.62,3,0.94,12,2.9,9.0,2.53,3,3.39,41.2,11.63,0.8333,0.0038
E16,sup_balanced_mu10,5,289.08,56.46,0.8696,0.9339,0.0217,0.8623,0.0062,3.2,2.6,3.6,1.0,5,0.9,5,3.8,5.3,1.51,5,1.41,7.2,2.2,4.0,1.12,4,2.05,11.2,3.8,6.9,1.95,4,3.18,84,23.71,0.8802,0.0019
E16,sup_unweighted_allrows,5,289.08,56.46,0.8092,0.9339,0.0217,0.6797,0.0195,170.7,22.1,67.1,18.95,3,48.18,,0.0,,,0,,,0.0,,,0,,,0.0,,,0,,26.4,7.45,0.7784,0.0
E17,clusterfed,10,289.08,56.46,0.8654,0.9319,0.0227,0.866,0.0016,2.7,2.4,1.8,0.5,10,0.76,3.9,3.0,2.2,0.63,10,1.1,9.6,3.6,2.7,0.77,10,2.71,27.8,19.1,14.4,4.06,10,7.85,71.8,20.27,0.8632,0.003
E17,legacy,10,277.83,54.26,0.7337,0.7669,0.231,0.6731,0.0076,16.2,23.1,42.4,11.5,4,4.41,,0.0,,,0,,,0.0,,,0,,,0.0,,,0,,30.4,8.25,0.6951,0.0167
E17,supervised,10,289.08,56.46,0.8679,0.9319,0.0227,0.8697,0.0026,1.7,2.1,1.6,0.45,10,0.48,3,2.9,2.2,0.62,10,0.85,5,3.8,2.9,0.82,10,1.41,10.3,4.9,4.0,1.13,9,2.92,82.5,23.29,0.8794,0.0015
E17,supervised_balanced,10,289.08,56.46,0.863,0.9319,0.0227,0.8664,0.0056,2.8,2.2,1.7,0.47,10,0.79,4.2,3.2,2.5,0.69,10,1.19,6.2,2.7,2.2,0.63,9,1.76,11.9,3.8,3.1,0.87,9,3.36,81.3,22.95,0.8788,0.0034
E18,topk_0.01_ef,3,147.43,28.79,0.8641,0.9327,0.0228,0.8712,0.0065,15,4.3,13.1,1.89,3,2.16,16.3,4.0,12.3,1.76,3,2.35,23.7,3.4,10.3,1.49,3,3.41,90.3,31.9,97.1,13.97,3,13.01,32.3,4.66,0.832,0.0396
E18,topk_0.1_ef,3,173.44,33.88,0.8642,0.9327,0.0228,0.8674,0.0011,3.3,2.1,6.3,1.06,3,0.56,4.7,2.5,7.6,1.29,3,0.79,11.3,1.7,5.2,0.88,3,1.92,22.7,8.2,24.9,4.21,3,3.84,69,11.69,0.8634,0.0021
E19,B1_zhao_dynamic_threshold,5,289.08,56.46,0.6427,,,0.7129,0.0003,1,0.0,0.0,0.0,3,0.28,1,0.0,0.0,0.0,3,0.28,2,1.4,4.3,1.21,3,0.56,,0.0,,,0,,75.4,21.29,0.7153,0.0
E19,B3_cbafed_class_balanced,5,289.08,56.46,0.6504,,,0.6899,0.0016,13.2,14.7,27.0,7.63,4,3.74,15,0.0,,,1,4.23,,0.0,,,0,,,0.0,,,0,,54.8,15.47,0.7531,0.0
E19,B5_fedups_uncertainty,5,289.08,56.46,0.8471,,,0.8247,0.0057,1,0.0,0.0,0.0,5,0.28,1,0.0,0.0,0.0,5,0.28,1,0.0,0.0,0.0,5,0.28,116.5,44.5,565.6,159.67,2,32.89,22,6.21,0.837,0.0
E1_2018,final,3,289.08,56.46,0.878,0.9498,,0.8136,0.027,10,8.3,25.2,7.12,3,2.82,13.3,5.6,16.9,4.77,3,3.76,20,1.4,4.3,1.21,3,5.65,155,34.0,432.1,121.99,2,43.76,88.7,25.03,0.9009,-0.0183
E20,fedavg_mu0,5,289.08,56.46,0.755,0.9339,0.0217,0.7654,0.0156,1.8,1.3,2.4,0.67,4,0.49,3.5,2.5,4.6,1.3,4,0.99,9,1.6,5.0,1.4,3,2.54,,0.0,,,0,,47.8,13.49,0.8199,-0.0069
E20,global_threshold,5,289.08,56.46,0.8643,0.9339,0.0137,0.8795,0.001,1,0.0,0.0,0.0,5,0.28,1,0.0,0.0,0.0,5,0.28,1,0.0,0.0,0.0,5,0.28,16.6,16.4,22.8,6.44,5,4.69,75,21.17,0.8648,0.0111
E20,k2_binary,5,289.08,56.46,0.7925,0.7273,0.2202,0.7792,0.0006,2.2,2.4,3.3,0.94,5,0.62,34.6,40.9,56.7,16.01,5,9.77,63,22.7,69.2,19.52,3,17.79,,0.0,,,0,,49.8,14.06,0.7449,0.0159
E20,no_ema,5,289.08,56.46,0.8534,0.9339,0.0217,0.8468,0.0102,1.6,0.8,1.1,0.31,5,0.45,1.6,0.8,1.1,0.31,5,0.45,2.2,0.4,0.8,0.22,4,0.64,24.3,29.5,89.7,25.31,3,6.87,55.8,15.75,0.8622,0.0062
E20,refine_R3,5,289.08,56.46,0.8234,0.9339,0.0495,0.6109,0.0027,,0.0,,,0,,,0.0,,,0,,,0.0,,,0,,,0.0,,,0,,31,8.75,0.8063,0.0027
E20,selection_last,5,289.08,56.46,0.8567,0.9339,0.0217,0.8683,0.0009,3.2,2.9,4.0,1.12,5,0.9,4.8,3.4,4.8,1.34,5,1.36,11.2,2.6,3.6,1.0,5,3.16,31.8,25.6,35.6,10.04,5,8.98,75.2,21.23,0.8669,0.0012
E20,train_on_all,5,289.08,56.46,0.8339,0.9339,0.0217,0.6244,0.0106,1,0.0,,,1,0.28,,0.0,,,0,,,0.0,,,0,,,0.0,,,0,,35.4,9.99,0.821,0.0
E21,c02_topk_ef,5,34.69,6.78,0.8717,0.9339,0.0217,0.8595,0.0257,14.6,8.5,11.8,0.4,5,0.49,16.8,10.3,14.3,0.48,5,0.57,57,76.8,141.2,4.78,4,1.93,75.7,74.8,227.5,7.71,3,2.56,55,1.86,0.8184,0.0585
E21,c05_topk_ef,5,86.72,16.94,0.8729,0.9339,0.0217,0.8724,0.0048,8,5.3,7.3,0.62,5,0.68,9,6.2,8.6,0.72,5,0.76,14,9.0,12.5,1.06,5,1.19,47.4,39.1,54.3,4.6,5,4.01,76.6,6.49,0.8721,0.0087
E3,A10_train_on_all,5,289.08,56.46,0.8086,0.9234,,0.6234,0.0176,179,0.0,,,1,50.53,,0.0,,,0,,,0.0,,,0,,,0.0,,,0,,50.2,14.17,0.8004,0.0
E3,A3_naive_selftraining,5,289.08,56.46,0.7055,0.9234,,0.6322,0.011,1,0.0,,,1,0.28,1,0.0,,,1,0.28,,0.0,,,0,,,0.0,,,0,,38.8,10.95,0.7289,0.0
E3,A3_no_refinement_no_curation,5,289.08,56.46,0.8031,0.9234,,0.6449,0.0171,1,0.0,,,1,0.28,,0.0,,,0,,,0.0,,,0,,,0.0,,,0,,43.6,12.31,0.7883,0.0
E3,A4_global_threshold,5,289.08,56.46,0.8258,0.9234,,0.7883,0.0078,1,0.0,0.0,0.0,5,0.28,1,0.0,0.0,0.0,5,0.28,88.5,87.5,1112.1,313.96,2,24.98,,0.0,,,0,,40,11.29,0.8088,0.0
E3,A5_bce,5,289.08,56.46,0.8188,0.9234,,0.6806,0.0271,70,69.0,877.0,247.58,2,19.76,,0.0,,,0,,,0.0,,,0,,,0.0,,,0,,31.2,8.81,0.7977,0.0012
E3,A5_logit_adjusted,5,289.08,56.46,0.8156,0.9234,,0.7032,0.0186,35.8,60.2,110.6,31.22,4,10.09,164,0.0,,,1,46.3,,0.0,,,0,,,0.0,,,0,,42.2,11.91,0.7958,0.0
E3,A7_fedavg_mu0,5,289.08,56.46,0.7993,0.9234,,0.5898,0.0192,,0.0,,,0,,,0.0,,,0,,,0.0,,,0,,,0.0,,,0,,26.6,7.51,0.7827,0.0
E3,A7_fedprox_mu01,5,289.08,56.46,0.8209,0.9234,,0.6631,0.0031,1,0.0,0.0,0.0,4,0.28,1,0.0,,,1,0.28,,0.0,,,0,,,0.0,,,0,,33,9.32,0.8041,0.0
E3,A7_lr1e3_v1legacy,5,289.08,56.46,0.8016,0.9234,,0.7682,0.0183,61.8,75.0,104.1,29.38,5,17.45,138.5,27.3,50.1,14.14,4,39.1,165.7,7.8,23.9,6.74,3,46.77,,0.0,,,0,,43.2,12.2,0.7762,0.0132
E3,A7_no_ema,5,289.08,56.46,0.7973,0.9234,,0.626,0.0275,,0.0,,,0,,,0.0,,,0,,,0.0,,,0,,,0.0,,,0,,21.2,5.98,0.7809,0.0
E3,A7_selection_last,5,289.08,56.46,0.3406,0.9234,,0.6376,0.0411,,0.0,,,0,,,0.0,,,0,,,0.0,,,0,,,0.0,,,0,,29.6,8.36,0.7857,0.0001
E3,A8_R0,5,289.08,56.46,0.846,0.9234,,0.8534,0.0021,1,0.0,0.0,0.0,5,0.28,1,0.0,0.0,0.0,5,0.28,7.4,3.6,5.0,1.41,5,2.09,32.5,5.9,10.9,3.08,4,9.17,63.4,17.9,0.8513,0.0072
E3,A8_R1,5,289.08,56.46,0.8123,0.9234,,0.6294,0.0437,,0.0,,,0,,,0.0,,,0,,,0.0,,,0,,,0.0,,,0,,37.2,10.5,0.7911,0.0
E3,A8_R5,5,289.08,56.46,0.797,0.9234,,0.5974,0.0135,,0.0,,,0,,,0.0,,,0,,,0.0,,,0,,,0.0,,,0,,31.4,8.86,0.781,0.0
E3,CAND_r0_mu10,3,289.08,56.46,0.8459,0.9232,,0.8786,0.0012,1,0.0,0.0,0.0,3,0.28,1,0.0,0.0,0.0,3,0.28,10,0.8,2.5,0.7,3,2.82,29.7,4.5,13.7,3.86,3,8.37,55.3,15.62,0.8511,0.0
E3,CAND_r0_mu10_k16,3,289.08,56.46,0.8578,0.9327,,0.8659,0.001,1,0.0,0.0,0.0,3,0.28,2.7,2.4,7.2,2.02,3,0.75,11.3,3.3,10.0,2.83,3,3.2,40,30.4,92.5,26.12,3,11.29,91.3,25.78,0.8605,0.002
E4,final,5,289.08,56.46,,,,0.8683,0.0009,3.2,2.9,4.0,1.12,5,0.9,4.8,3.4,4.8,1.34,5,1.36,11.2,2.6,3.6,1.0,5,3.16,31.8,25.6,35.6,10.04,5,8.98,75.2,21.23,0.8669,0.0012
E5,clients20,3,289.08,56.46,0.7768,0.9516,,0.7699,0.0082,9.7,4.2,12.7,3.6,3,2.73,16,4.5,13.8,3.9,3,4.52,17,0.0,,,1,4.8,25,0.0,,,1,7.06,58,16.37,0.8343,0.0004
E5,clients5,3,289.08,56.46,0.7846,0.9528,,0.7445,0.0057,1,0.0,0.0,0.0,2,0.28,9,2.0,25.4,7.18,2,2.54,17,3.0,38.1,10.76,2,4.8,,0.0,,,0,,85,24.0,0.7669,-0.0087
E5,clients50,3,289.08,56.46,0.8669,0.9611,,0.895,0.0003,5.3,2.5,7.6,2.14,3,1.51,11.3,1.2,3.8,1.07,3,3.2,16.7,1.7,5.2,1.46,3,4.71,26.7,4.2,12.7,3.6,3,7.53,61,17.22,0.8695,0.0005
E6,zeta_final,1,289.08,56.46,0.8659,0.9306,,0.8647,0.0024,1,0.0,,,1,0.28,6,0.0,,,1,1.69,12,0.0,,,1,3.39,19,0.0,,,1,5.36,135,38.11,0.8754,0.0001
E8,dp_sigma0.01,3,289.08,56.46,0.8584,0.9327,,0.8697,0.0014,1,0.0,0.0,0.0,3,0.28,2.7,2.4,7.2,2.02,3,0.75,10.3,3.3,10.0,2.83,3,2.92,36.3,26.6,81.0,22.88,3,10.26,88.7,25.03,0.863,-0.0003
E8,dp_sigma0.1,3,289.08,56.46,0.8707,0.9327,,0.8698,0.0158,1,0.0,0.0,0.0,3,0.28,40.3,55.6,169.3,47.78,3,11.39,55.3,63.9,194.4,54.87,3,15.62,82.3,55.9,170.2,48.04,3,23.24,61.3,17.31,0.8594,0.0201
E8,poison0.1_fedavg,3,289.08,56.46,0.7303,0.9327,,0.7911,0.0133,1,0.0,0.0,0.0,2,0.28,4.5,3.5,44.5,12.56,2,1.27,10,3.0,38.1,10.76,2,2.82,18,0.0,,,1,5.08,60.3,17.03,0.7999,0.0
E8,poison0.1_median,3,289.08,56.46,0.8543,0.9327,,0.865,0.0032,1,0.0,0.0,0.0,3,0.28,1,0.0,0.0,0.0,3,0.28,7.7,3.8,11.5,3.24,3,2.16,54,45.3,137.9,38.93,3,15.24,39.7,11.2,0.8343,0.0215
E8,poison0.2_fedavg,3,289.08,56.46,0.7093,0.9327,,0.7227,0.0043,1,0.0,0.0,0.0,2,0.28,1,0.0,,,1,0.28,1,0.0,,,1,0.28,,0.0,,,0,,42.7,12.04,0.739,0.0033
E8,poison0.2_median,3,289.08,56.46,0.7305,0.9327,,0.7396,0.0042,1,0.0,0.0,0.0,2,0.28,1,0.0,0.0,0.0,2,0.28,123,0.0,,,1,34.72,,0.0,,,0,,65,18.35,0.7547,0.0001
E8,poison0.3_fedavg,3,289.08,56.46,0.6586,0.9327,,0.6489,0.0044,1,0.0,,,1,0.28,1,0.0,,,1,0.28,2,0.0,,,1,0.56,,0.0,,,0,,69,19.48,0.6546,0.0
E8,poison0.3_median,3,289.08,56.46,0.7834,0.9327,,0.7291,0.001,4,3.0,38.1,10.76,2,1.13,7,6.0,76.3,21.53,2,1.98,72,0.0,,,1,20.33,,0.0,,,0,,32.3,9.13,0.7135,0.022
E9,dirichlet_a0.1,3,289.08,56.46,0.8754,0.9249,,0.8558,0.002,3.7,3.8,11.5,3.24,3,1.04,6.3,4.5,13.7,3.86,3,1.79,12,4.5,13.8,3.9,3,3.39,22.5,7.5,95.3,26.91,2,6.35,89,25.12,0.8625,0.0001
E9,dirichlet_a0.5,3,289.08,56.46,0.8395,0.9243,,0.7237,0.0076,14.3,16.1,49.0,13.84,3,4.05,1,0.0,,,1,0.28,,0.0,,,0,,,0.0,,,0,,63.7,17.97,0.7729,0.0
E9,dirichlet_a1.0,3,289.08,56.46,0.8823,0.9225,,0.8479,0.0006,9,11.3,34.4,9.72,3,2.54,16.3,21.7,66.0,18.63,3,4.61,49.7,68.1,207.3,58.51,3,14.02,20,0.0,,,1,5.65,97.3,27.48,0.8283,0.0001
E_LOFO,Bot,1,289.08,56.46,,,,0.8717,0.0009,1,0.0,,,1,0.28,8,0.0,,,1,2.26,14,0.0,,,1,3.95,21,0.0,,,1,5.93,164,46.3,0.8775,0.0
E_LOFO,DDoS,1,289.08,56.46,,,,0.8575,0.0033,1,0.0,,,1,0.28,1,0.0,,,1,0.28,1,0.0,,,1,0.28,18,0.0,,,1,5.08,129,36.42,0.8601,0.0008
E_LOFO,DoS_GoldenEye,1,289.08,56.46,,,,0.8555,0.0075,10,0.0,,,1,2.82,15,0.0,,,1,4.23,21,0.0,,,1,5.93,30,0.0,,,1,8.47,192,54.2,0.8608,0.0
E_LOFO,DoS_Hulk,1,289.08,56.46,,,,0.853,0.0025,1,0.0,,,1,0.28,1,0.0,,,1,0.28,4,0.0,,,1,1.13,55,0.0,,,1,15.53,42,11.86,0.8457,0.0001
E_LOFO,DoS_Slowhttptest,1,289.08,56.46,,,,0.8721,0.0058,6,0.0,,,1,1.69,8,0.0,,,1,2.26,11,0.0,,,1,3.11,14,0.0,,,1,3.95,102,28.79,0.8867,0.0
E_LOFO,DoS_slowloris,1,289.08,56.46,,,,0.8528,0.0066,3,0.0,,,1,0.85,6,0.0,,,1,1.69,12,0.0,,,1,3.39,22,0.0,,,1,6.21,120,33.88,0.8794,0.0
E_LOFO,FTPPatator,1,289.08,56.46,,,,0.867,0.0005,1,0.0,,,1,0.28,1,0.0,,,1,0.28,4,0.0,,,1,1.13,19,0.0,,,1,5.36,35,9.88,0.8311,0.0443
E_LOFO,Heartbleed,1,289.08,56.46,,,,0.8738,0.0005,2,0.0,,,1,0.56,7,0.0,,,1,1.98,12,0.0,,,1,3.39,19,0.0,,,1,5.36,112,31.62,0.8781,0.0003
E_LOFO,Infiltration,1,289.08,56.46,,,,0.8673,0.0006,3,0.0,,,1,0.85,5,0.0,,,1,1.41,7,0.0,,,1,1.98,14,0.0,,,1,3.95,99,27.95,0.8775,0.0001
E_LOFO,PortScan,1,289.08,56.46,,,,0.821,0.0007,1,0.0,,,1,0.28,3,0.0,,,1,0.85,7,0.0,,,1,1.98,,0.0,,,0,,200,56.46,0.8218,0.0003
E_LOFO,SSHPatator,1,289.08,56.46,,,,0.8601,0.0015,1,0.0,,,1,0.28,1,0.0,,,1,0.28,4,0.0,,,1,1.13,11,0.0,,,1,3.11,100,28.23,0.8723,-0.0135
E_LOFO,Web_Attack__Brute_Force,1,289.08,56.46,,,,0.8771,0.0009,6,0.0,,,1,1.69,10,0.0,,,1,2.82,16,0.0,,,1,4.52,21,0.0,,,1,5.93,111,31.34,0.8743,0.0019
E_LOFO,Web_Attack__Sql_Injection,1,289.08,56.46,,,,0.8733,0.0008,4,0.0,,,1,1.13,7,0.0,,,1,1.98,10,0.0,,,1,2.82,16,0.0,,,1,4.52,97,27.38,0.8795,-0.0026
E_LOFO,Web_Attack__XSS,1,289.08,56.46,,,,0.8641,0.0015,1,0.0,,,1,0.28,3,0.0,,,1,0.85,8,0.0,,,1,2.26,14,0.0,,,1,3.95,103,29.08,0.8806,0.0
E_LOFO_2018,Bot,3,289.08,56.46,,,,0.8642,0.0075,8.7,2.4,7.2,2.02,3,2.45,13.7,0.9,2.9,0.81,3,3.86,16.7,0.9,2.9,0.81,3,4.71,20,3.6,10.8,3.06,3,5.65,73.7,20.8,0.8978,0.006
E_LOFO_2018,Brute_Force_Web,1,289.08,56.46,,,,0.7901,0.0509,21,0.0,,,1,5.93,21,0.0,,,1,5.93,21,0.0,,,1,5.93,187,0.0,,,1,52.79,88,24.84,0.9104,0.0
E_LOFO_2018,Brute_Force_XSS,1,289.08,56.46,,,,0.8048,0.0556,22,0.0,,,1,6.21,22,0.0,,,1,6.21,24,0.0,,,1,6.78,180,0.0,,,1,50.81,76,21.46,0.9082,-0.0375
E_LOFO_2018,DDOS_attackHOIC,1,289.08,56.46,,,,0.8973,0.0001,20,0.0,,,1,5.65,20,0.0,,,1,5.65,20,0.0,,,1,5.65,25,0.0,,,1,7.06,110,31.05,0.8953,0.002
E_LOFO_2018,DDOS_attackLOICUDP,1,289.08,56.46,,,,0.8136,0.0564,8,0.0,,,1,2.26,17,0.0,,,1,4.8,26,0.0,,,1,7.34,181,0.0,,,1,51.1,111,31.34,0.9106,-0.0406
E_LOFO_2018,DDoS_attacksLOICHTTP,1,289.08,56.46,,,,0.7884,0.0006,22,0.0,,,1,6.21,24,0.0,,,1,6.78,24,0.0,,,1,6.78,,0.0,,,0,,109,30.77,0.9045,0.0
E_LOFO_2018,DoS_attacksGoldenEye,1,289.08,56.46,,,,0.7777,0.0003,1,0.0,,,1,0.28,1,0.0,,,1,0.28,,0.0,,,0,,,0.0,,,0,,111,31.34,0.7773,0.0
E_LOFO_2018,DoS_attacksHulk,1,289.08,56.46,,,,0.8582,0.0164,19,0.0,,,1,5.36,19,0.0,,,1,5.36,22,0.0,,,1,6.21,31,0.0,,,1,8.75,114,32.18,0.8951,0.0011
E_LOFO_2018,DoS_attacksSlowHTTPTest,1,289.08,56.46,,,,0.8673,0.0003,22,0.0,,,1,6.21,24,0.0,,,1,6.78,24,0.0,,,1,6.78,145,0.0,,,1,40.93,76,21.46,0.9068,-0.0385
E_LOFO_2018,DoS_attacksSlowloris,1,289.08,56.46,,,,0.8608,0.0001,1,0.0,,,1,0.28,15,0.0,,,1,4.23,23,0.0,,,1,6.49,25,0.0,,,1,7.06,21,5.93,0.7466,0.1142
E_LOFO_2018,FTPBruteForce,1,289.08,56.46,,,,0.7873,0.0503,5,0.0,,,1,1.41,16,0.0,,,1,4.52,21,0.0,,,1,5.93,187,0.0,,,1,52.79,107,30.21,0.9081,-0.0399
E_LOFO_2018,Infilteration,1,289.08,56.46,,,,0.8114,0.0013,19,0.0,,,1,5.36,23,0.0,,,1,6.49,29,0.0,,,1,8.19,33,0.0,,,1,9.32,75,21.17,0.9717,0.0
E_LOFO_2018,SQL_Injection,1,289.08,56.46,,,,0.7879,0.0504,4,0.0,,,1,1.13,4,0.0,,,1,1.13,22,0.0,,,1,6.21,187,0.0,,,1,52.79,26,7.34,0.7561,0.1126
E_LOFO_2018,SSHBruteforce,1,289.08,56.46,,,,0.8521,0.0002,17,0.0,,,1,4.8,18,0.0,,,1,5.08,19,0.0,,,1,5.36,20,0.0,,,1,5.65,44,12.42,0.8953,-0.0432
